P_hat, BEFORE optimization
[[-3.422e-01  2.900e-01  5.684e-04 -4.358e-02]
 [ 2.153e-01  2.576e-01 -5.824e-01 -8.058e-02]
 [-1.385e-01 -1.729e-01 -1.218e-01  1.000e+00]]

P_hat, AFTER optimization
[[-3.421e-01  2.899e-01  6.869e-04 -4.334e-02]
 [ 2.158e-01  2.577e-01 -5.819e-01 -8.068e-02]
 [-1.401e-01 -1.729e-01 -1.222e-01  1.000e+00]]

Reprojection error 0.0006316426059796171
Reprojection error 0.0006316426169331763
Reprojection error 0.0006316426297633268
Reprojection error 0.0006316426065116134
Reprojection error 0.0006316426142308886
Reprojection error 0.0006316425489615473
Reprojection error 0.0006316425651539073
Reprojection error 0.0006316425671898359
Reprojection error 0.0006316425767746821
Reprojection error 0.0006316427042782269
Reprojection error 0.0006316425988052253
Reprojection error 0.0006316425681792503
Reprojection error 0.0006316426088073968
Reprojection error 0.0012431509527611728
Reprojection error 0.0006299586641712626
Reprojection error 0.0006299586489454293
Reprojection error 0.0006299586442841031
Reprojection error 0.0006299586652373442
Reprojection error 0.0006299585597530019
Reprojection error 0.0006299586726523424
Reprojection error 0.0006299586990958614
Reprojection error 0.0006299586541502401
Reprojection error 0.0006299588666508451
Reprojection error 0.000629958660222386
Reprojection error 0.0006299586385940619
Reprojection error 0.0006299587319411476
Reprojection error 0.0006299586630457446
Reprojection error 0.0013388609370404583
Reprojection error 0.0006287576976911567
Reprojection error 0.0006287576656369415
Reprojection error 0.0006287576602322916
Reprojection error 0.0006287576949778786
Reprojection error 0.0006287576929550602
Reprojection error 0.000628757759097332
Reprojection error 0.0006287577551166244
Reprojection error 0.0006287577170161922
Reprojection error 0.0006287576608299286
Reprojection error 0.0006287576734321168
Reprojection error 0.0006287576975787842
Reprojection error 0.0006287577334805689
Reprojection error 0.0006287576784609634
Reprojection error 0.0006547761484262262
Reprojection error 0.0006275171062201256
Reprojection error 0.0006275170984563914
Reprojection error 0.0006275171051959393
Reprojection error 0.0006275170824477396
Reprojection error 0.000627517160811479
Reprojection error 0.0006275171401695146
Reprojection error 0.000627517129785237
Reprojection error 0.0006275171526961355
Reprojection error 0.000627517110885655
Reprojection error 0.0006275170817650711
Reprojection error 0.0006275171092820534
Reprojection error 0.0006275171456939864
Reprojection error 0.000627517122129851
